"","SMILES","half_life_formatted"
"336","CCOP(=S)(OCC)SCCSCC","100 days"
"337","CCOP(=S)(OCC)SCSC(C)(C)C","1.9 days"
"338","CCOP(=S)(OCC)SCSCC","3.6 days"
"339","CCOS(=O)(=O)OCC","0.071 day"
"340","CCOS(C)(=O)=O","1.9 days"
"341","CCO[Si](C)(CCCOCC1CO1)OCC","1.5 days"
"342","CCO[Si](CCC#N)(OCC)OCC","0.18 day"
"343","CCO[Si](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(OCC)OCC","0.34 day"
"344","CCO[Si](CCCN=C=O)(OCC)OCC","0.0022 day"
"345","CCO[Si](CCCOCC1CO1)(OCC)OCC","1.5 days"
"346","CCO[Si](CCCS)(OCC)OCC","0.91 day"
"347","CCO[Si](CCCSC#N)(OCC)OCC","0.96 day"
"348","CCO[Si](CCC[NH2+]CCC[Si](OCC)(OCC)OCC)(OCC)OCC","0.26 day"
"349","CCO[Si](CCC[NH3+])(OCC)OCC","0.0022 day"
"350","CCO[Si](OCC)(OCC)OCC","0.18 day"
"351","CCOc1ccc(B(O)O)c(F)c1F","26 days"
"352","CCOc1cccc(F)c1F","3.5 days"
